condition,seed,eps_target,step,train_loss,eval_loss,eval_ppl,gate_sparsity,eps_consumed,lambda_gate
C_gate_dp_init,42,8.0,500,6.486683,6.042373,420.8908,0.4711,5.3487,0.000000
C_gate_dp_init,42,8.0,1000,6.238956,5.936427,378.5797,0.4163,5.7210,0.000000
C_gate_dp_init,42,8.0,1500,6.157028,5.850839,347.5258,0.4138,5.9914,0.000000
C_gate_dp_init,42,8.0,2000,6.101088,5.770886,320.8220,0.4084,6.1945,0.000000
C_gate_dp_init,42,8.0,2500,6.040677,5.706440,300.7982,0.3512,6.3975,0.000000
C_gate_dp_init,42,8.0,3000,6.004093,5.654243,285.5004,0.3609,6.5427,0.000000
C_gate_dp_init,42,8.0,3500,5.953182,5.595573,269.2318,0.3632,6.6789,0.000000
C_gate_dp_init,42,8.0,4000,5.899742,5.534474,253.2746,0.3708,6.8151,0.000000
C_gate_dp_init,42,8.0,4500,5.856922,5.491449,242.6086,0.3494,6.9513,0.000000
C_gate_dp_init,42,8.0,5000,5.817824,5.448280,232.3582,0.3397,7.0807,0.000000
C_gate_dp_init,42,8.0,5500,5.766011,5.408271,223.2452,0.3216,7.1775,0.000000
C_gate_dp_init,42,8.0,6000,5.737668,5.371200,215.1209,0.3197,7.2743,0.000000
C_gate_dp_init,42,8.0,6500,5.699937,5.340295,208.5743,0.2982,7.3710,0.000000
C_gate_dp_init,42,8.0,7000,5.669981,5.312988,202.9557,0.3001,7.4678,0.000000
C_gate_dp_init,42,8.0,7500,5.642313,5.288946,198.1345,0.2859,7.5646,0.000000
C_gate_dp_init,42,8.0,8000,5.631848,5.262590,192.9806,0.2981,7.6614,0.000000
C_gate_dp_init,42,8.0,8500,5.624464,5.242270,189.0988,0.2721,7.7582,0.000000
C_gate_dp_init,42,8.0,9000,5.606861,5.219703,184.8793,0.3171,7.8549,0.000000
C_gate_dp_init,42,8.0,9500,5.580444,5.203605,181.9269,0.2854,7.9275,0.000000
C_gate_dp_init,42,8.0,10000,5.555483,5.178692,177.4505,0.3024,7.9998,0.000000
